,original_ref,rxn_ref,retro_template,count
0,R0,R0,([NH:1]-[CH:3]-[c:2])>>([NH2:1].[cH:2]).(O=[CH:3]),14421
1,R1,R1,([n:1]:[c:3]:[n:2])>>([NH2:1].[NH:2]).(O-[C:3]=O),2179
2,R1,R1,([c:4]-[c:3](:[n:1]):[n:2])>>([NH2:1].[NH:2]).(O-[C:3](=O)-[c:4]),1863
3,R1,R1,([c:4]-[c:3](:[n:1]):[n:2])>>([NH2:1].[NH:2]).(C-O-[C:3](=O)-[c:4]),1160
4,R1,R1,([n:1]:[c:3]:[n:2])>>([NH2:1].[NH:2]).(C-O-[C:3]=O),754
5,R1,R1,([c:3]-[n:2]:[c:4]:[n:1])>>([NH2:1].[NH:2]-[c:3]).(O-[C:4]=O),271
6,R1,R1,([c:5]-[c:4](:[n:1]):[n:2]-[c:3])>>([NH2:1].[NH:2]-[c:3]).(O-[C:4](=O)-[c:5]),185
7,R1,R1,([c:5]-[c:4](:[n:1]):[n:2]-[c:3])>>([NH2:1].[NH:2]-[c:3]).(C-O-[C:4](=O)-[c:5]),107
8,R1,R1,([c:3]-[n:2]:[c:4]:[n:1])>>([NH2:1].[NH:2]-[c:3]).(C-O-[C:4]=O),95
9,R2,R2,([c:4]-[c:3](:[n:1]):[n:2])>>([NH2:1].[NH:2]).(O=[CH:3]-[c:4]),3807
10,R2,R2,([n:1]:[c:3]:[n:2])>>([NH2:1].[NH:2]).(O=[CH:3]),533
11,R2,R2,([c:5]-[c:4](:[n:1]):[n:2]-[c:3])>>([NH2:1].[NH:2]-[c:3]).(O=[CH:4]-[c:5]),366
12,R2,R2,([c:3]-[n:2]:[c:4]:[n:1])>>([NH2:1].[NH:2]-[c:3]).(O=[CH:4]),62
13,R3,R3,([c:4]-[c:3](:[n:1]):[s:2])>>([NH2:1].[SH:2]).(O=[CH:3]-[c:4]),5101
14,R3,R3,([n:1]:[c:3]:[s:2])>>([NH2:1].[SH:2]).(O=[CH:3]),692
15,R4,R4,([c:4]-[c:3](:[n:1]):[o:2])>>([NH2:1].[OH:2]).(O=[CH:3]-[c:4]),7166
16,R5,R5,([n:1]:[c:3]:[o:2])>>([NH2:1].[OH:2]).(O-[C:3]=O),4055
17,R5,R5,([c:4]-[c:3](:[n:1]):[o:2])>>([NH2:1].[OH:2]).(O-[C:3](=O)-[c:4]),3644
18,R6,R6,([c:3]-[c:2]1:[c:1]:[s:6]:[c:5]:[n:4]:1)>>(Cl-[CH:1]-[C:2](=O)-[c:3]).([NH2:4]-[C:5]=[S:6]),1449
19,R6,R6,([c:3]-[c:2]1:[c:1]:[s:6]:[c:5]:[n:4]:1)>>(Br-[CH:1]-[C:2](=O)-[c:3]).([NH2:4]-[C:5]=[S:6]),1058
20,R6,R6,([c:4]1:[n:3]:[c:2]:[c:1]:[s:5]:1)>>(Br-[CH:1]-[C:2]=O).([NH2:3]-[C:4]=[S:5]),955
21,R6,R6,([c:7]-[c:5]1:[n:4]:[c:2](-[c:3]):[c:1]:[s:6]:1)>>(Br-[CH:1]-[C:2](=O)-[c:3]).([NH2:4]-[C:5](=[S:6])-[c:7]),936
22,R6,R6,([c:6]-[c:4]1:[n:3]:[c:2]:[c:1]:[s:5]:1)>>(Br-[CH:1]-[C:2]=O).([NH2:3]-[C:4](=[S:5])-[c:6]),934
23,R6,R6,([c:7]-[c:5]1:[n:4]:[c:2](-[c:3]):[c:1]:[s:6]:1)>>(Cl-[CH:1]-[C:2](=O)-[c:3]).([NH2:4]-[C:5](=[S:6])-[c:7]),933
24,R6,R6,([c:4]1:[n:3]:[c:2]:[c:1]:[s:5]:1)>>(Cl-[CH:1]-[C:2]=O).([NH2:3]-[C:4]=[S:5]),932
25,R6,R6,([c:6]-[c:4]1:[n:3]:[c:2]:[c:1]:[s:5]:1)>>(Cl-[CH:1]-[C:2]=O).([NH2:3]-[C:4](=[S:5])-[c:6]),871
26,R6,R6,([c:2]-[c:1]1:[s:7]:[c:6]:[n:5]:[c:3]:1-[c:4])>>(Cl-[CH:1](-[c:2])-[C:3](=O)-[c:4]).([NH2:5]-[C:6]=[S:7]),141
27,R6,R6,([c:2]-[c:1]1:[s:7]:[c:6](-[c:8]):[n:5]:[c:3]:1-[c:4])>>(Cl-[CH:1](-[c:2])-[C:3](=O)-[c:4]).([NH2:5]-[C:6](=[S:7])-[c:8]),130
28,R6,R6,([c:7]-[c:5]1:[n:4]:[c:3]:[c:1](-[c:2]):[s:6]:1)>>(Cl-[CH:1](-[c:2])-[C:3]=O).([NH2:4]-[C:5](=[S:6])-[c:7]),105
29,R6,R6,([c:2]-[c:1]1:[c:3]:[n:4]:[c:5]:[s:6]:1)>>(Br-[CH:1](-[c:2])-[C:3]=O).([NH2:4]-[C:5]=[S:6]),104
30,R6,R6,([c:2]-[c:1]1:[c:3]:[n:4]:[c:5]:[s:6]:1)>>(Cl-[CH:1](-[c:2])-[C:3]=O).([NH2:4]-[C:5]=[S:6]),104
31,R6,R6,([c:7]-[c:5]1:[n:4]:[c:3]:[c:1](-[c:2]):[s:6]:1)>>(Br-[CH:1](-[c:2])-[C:3]=O).([NH2:4]-[C:5](=[S:6])-[c:7]),72
32,R6,R6,([c:3]-[c:2]1:[c:1]:[s:6]:[c:5](-[n:7]):[n:4]:1)>>(Cl-[CH:1]-[C:2](=O)-[c:3]).([NH2:4]-[C:5](=[S:6])-[n:7]),35
33,R6,R6,([n:6]-[c:4]1:[n:3]:[c:2]:[c:1]:[s:5]:1)>>(Br-[CH:1]-[C:2]=O).([NH2:3]-[C:4](=[S:5])-[n:6]),26
34,R6,R6,([n:6]-[c:4]1:[n:3]:[c:2]:[c:1]:[s:5]:1)>>(Cl-[CH:1]-[C:2]=O).([NH2:3]-[C:4](=[S:5])-[n:6]),23
35,R6,R6,([c:3]-[c:2]1:[c:1]:[s:6]:[c:5](-[n:7]):[n:4]:1)>>(Br-[CH:1]-[C:2](=O)-[c:3]).([NH2:4]-[C:5](=[S:6])-[n:7]),17
36,R7,R7,([c:2]:[n:4]:[c:3]:[n:1])>>([NH2:1].O-[C:2]).(O=[C:3]-[NH:4]),18214
37,R7,R7,([c:5]-[n:4](:[c:2]):[c:3]:[n:1])>>([NH2:1].O-[C:2]).(O=[C:3]-[NH:4]-[c:5]),12132
38,R7,R7,([c:5]-[c:3](:[n:1]):[n:4]:[c:2])>>([NH2:1].O-[C:2]).(O=[C:3](-[NH:4])-[c:5]),8170
39,R7,R7,([c:2]:[n:5](-[c:6]):[c:3](-[c:4]):[n:1])>>([NH2:1].O-[C:2]).(O=[C:3](-[c:4])-[NH:5]-[c:6]),4757
40,R7,R7,([c:2]:[nH:4]:[c:3]:[n:1])>>([NH2:1].O-[C:2]).(O=[C:3]-[NH2:4]),3498
41,R7,R7,([c:5]-[c:3](:[n:1]):[nH:4]:[c:2])>>([NH2:1].O-[C:2]).(O=[C:3](-[NH2:4])-[c:5]),2528
42,R7,R7,([c:5]-[n:4](:[c:2]):[cH:3]:[n:1])>>([NH2:1].O-[C:2]).(O=[CH:3]-[NH:4]-[c:5]),2034
43,R7,R7,([c:2]:[n:4](-[n:5]):[c:3]:[n:1])>>([NH2:1].O-[C:2]).(O=[C:3]-[NH:4]-[n:5]),198
44,R7,R7,([c:4]-[c:3](:[n:1]):[n:5](:[c:2])-[n:6])>>([NH2:1].O-[C:2]).(O=[C:3](-[c:4])-[NH:5]-[n:6]),105
45,R7,R7,([c:2]:[n:4]:[cH:3]:[n:1])>>([NH2:1].O-[C:2]).(O=[CH:3]-[NH:4]),95
46,R8,R8,([c:3]-[c:2]1:[n:1]:[nH]:n:n:1)>>([N:1]#[C:2]-[c:3]),15146
47,R8,R8,([C:1]-[c:2]1:[n:3]:[nH]:n:n:1)>>([C:1]-[C:2]#[N:3]),8924
48,R10,R9,([CH2:4]-n1:n:n:[n:1]:[c:2]:1-[c:3])>>([N:1]#[C:2]-[c:3]).(Cl-[CH2:4]),8012
49,R10,R9,([CH2:3]-n1:[c:1]:[n:2]:n:n:1)>>([C:1]#[N:2]).(Cl-[CH2:3]),5334
50,R10,R9,([CH2:4]-n1:n:n:[n:1]:[c:2]:1-[c:3])>>([N:1]#[C:2]-[c:3]).(Br-[CH2:4]),4520
51,R10,R9,([CH2:3]-n1:[c:1]:[n:2]:n:n:1)>>([C:1]#[N:2]).(Br-[CH2:3]),2906
52,R10,R9,([CH:4]-n1:n:n:[n:1]:[c:2]:1-[c:3])>>([N:1]#[C:2]-[c:3]).(Br-[CH:4]),2040
53,R10,R9,([CH:4]-n1:n:n:[n:1]:[c:2]:1-[c:3])>>([N:1]#[C:2]-[c:3]).(Cl-[CH:4]),1874
54,R10,R9,([CH:3]-n1:[c:1]:[n:2]:n:n:1)>>([C:1]#[N:2]).(Br-[CH:3]),1526
55,R10,R9,([C:4]-n1:n:n:[n:1]:[c:2]:1-[c:3])>>([N:1]#[C:2]-[c:3]).(Cl-[C:4]),1510
56,R10,R9,([C:3]-n1:[c:1]:[n:2]:n:n:1)>>([C:1]#[N:2]).(Cl-[C:3]),1461
57,R10,R9,([CH:3]-n1:[c:1]:[n:2]:n:n:1)>>([C:1]#[N:2]).(Cl-[CH:3]),1412
58,R10,R9,([C:4]-n1:n:n:[n:1]:[c:2]:1-[c:3])>>([N:1]#[C:2]-[c:3]).(Br-[C:4]),1278
59,R10,R9,([C:3]-n1:[c:1]:[n:2]:n:n:1)>>([C:1]#[N:2]).(Br-[C:3]),1122
60,R10,R9,([CH2:4]-n1:n:n:[n:1]:[c:2]:1-[c:3])>>([N:1]#[C:2]-[c:3]).(I-[CH2:4]),547
61,R10,R9,([CH2:3]-n1:[c:1]:[n:2]:n:n:1)>>([C:1]#[N:2]).(I-[CH2:3]),354
62,R10,R9,([CH:4]-n1:n:n:[n:1]:[c:2]:1-[c:3])>>([N:1]#[C:2]-[c:3]).(I-[CH:4]),59
63,R10,R9,([CH:3]-n1:[c:1]:[n:2]:n:n:1)>>([C:1]#[N:2]).(I-[CH:3]),51
64,R11,R10,([CH:3]-n1:[cH:2]:[c:1]:n:n:1)>>([C:1]#[CH:2]).(O-[CH:3]),4849
65,R11,R10,([CH2:3]-n1:[cH:2]:[c:1]:n:n:1)>>([C:1]#[CH:2]).(O-[CH2:3]),4699
66,R11,R10,([CH2:3]-n1:[cH:2]:[c:1]:n:n:1)>>([C:1]#[CH:2]).(Cl-[CH2:3]),3654
67,R11,R10,([CH2:3]-n1:[cH:2]:[c:1]:n:n:1)>>([C:1]#[CH:2]).(Br-[CH2:3]),2109
68,R11,R10,([CH:3]-n1:[cH:2]:[c:1]:n:n:1)>>([C:1]#[CH:2]).(Br-[CH:3]),1436
69,R11,R10,([CH:3]-n1:[cH:2]:[c:1]:n:n:1)>>([C:1]#[CH:2]).(Cl-[CH:3]),1434
70,R11,R10,([CH:4]-n1:[cH:1]:[c:2](-[c:3]):n:n:1)>>([CH:1]#[C:2]-[c:3]).(O-[CH:4]),1358
71,R11,R10,([CH2:4]-n1:[cH:1]:[c:2](-[c:3]):n:n:1)>>([CH:1]#[C:2]-[c:3]).(O-[CH2:4]),1288
72,R11,R10,([CH2:4]-n1:[cH:1]:[c:2](-[c:3]):n:n:1)>>([CH:1]#[C:2]-[c:3]).(Cl-[CH2:4]),962
73,R11,R10,([CH2:4]-n1:[cH:1]:[c:2](-[c:3]):n:n:1)>>([CH:1]#[C:2]-[c:3]).(Br-[CH2:4]),579
